===== TRAIN HARD U-NET =====
[train] ep1 step8040 loss=0.0822 l1=0.0521
[train] ep1 step8060 loss=0.1289 l1=0.0725
[train] ep1 step8080 loss=0.0833 l1=0.0483
[train] ep1 step8100 loss=0.0810 l1=0.0539
[train] ep1 step8120 loss=0.0670 l1=0.0388
[train] ep1 step8140 loss=0.0680 l1=0.0392
[train] ep1 step8160 loss=0.0591 l1=0.0342
[train] ep1 step8180 loss=0.0884 l1=0.0517
[train] ep1 step8200 loss=0.0874 l1=0.0498
[train] ep1 step8220 loss=0.1724 l1=0.0878
[train] ep1 step8240 loss=0.0975 l1=0.0644
[train] ep1 step8260 loss=0.0722 l1=0.0357
[train] ep1 step8280 loss=0.0748 l1=0.0411
[train] ep1 step8300 loss=0.1248 l1=0.0756
[train] ep1 step8320 loss=0.0949 l1=0.0661
[train] ep1 step8340 loss=0.1422 l1=0.0900
[train] ep1 step8360 loss=0.0957 l1=0.0534
[train] ep1 step8380 loss=0.0801 l1=0.0433
[train] ep1 step8400 loss=0.1249 l1=0.0657
[train] ep1 step8420 loss=0.0663 l1=0.0416
[train] ep1 step8440 loss=0.0554 l1=0.0321
[train] ep1 step8460 loss=0.0665 l1=0.0452
[train] ep1 step8480 loss=0.1181 l1=0.0676
[train] ep1 step8500 loss=0.1313 l1=0.0852
[train] ep1 step8520 loss=0.1129 l1=0.0615
[train] ep1 step8540 loss=0.0910 l1=0.0551
[train] ep1 step8560 loss=0.1199 l1=0.0640
[train] ep1 step8580 loss=0.0962 l1=0.0525
[train] ep1 step8600 loss=0.1531 l1=0.0892
[train] ep1 step8620 loss=0.0760 l1=0.0434
[train] ep1 step8640 loss=0.1021 l1=0.0628
[train] ep1 step8660 loss=0.0810 l1=0.0453
[train] ep1 step8680 loss=0.0519 l1=0.0287
[train] ep1 step8700 loss=0.1099 l1=0.0586
[train] ep1 step8720 loss=0.0682 l1=0.0375
[train] ep1 step8740 loss=0.0869 l1=0.0530
[train] ep1 step8760 loss=0.0872 l1=0.0570
[train] ep1 step8780 loss=0.0943 l1=0.0552
[train] ep1 step8800 loss=0.0681 l1=0.0388
[train] ep1 step8820 loss=0.0826 l1=0.0504
[train] ep1 step8840 loss=0.0826 l1=0.0446
[train] ep1 step8860 loss=0.0835 l1=0.0513
[train] ep1 step8880 loss=0.0515 l1=0.0315
[train] ep1 step8900 loss=0.1110 l1=0.0591
[train] ep1 step8920 loss=0.0658 l1=0.0319
[train] ep1 step8940 loss=0.0874 l1=0.0517
[train] ep1 step8960 loss=0.0807 l1=0.0460
[train] ep1 step8980 loss=0.1141 l1=0.0660
[train] ep1 step9000 loss=0.0889 l1=0.0446
[train] ep1 step9020 loss=0.1277 l1=0.0697
[train] ep1 step9040 loss=0.0809 l1=0.0456
[train] ep1 step9060 loss=0.1324 l1=0.0658
[train] ep1 step9080 loss=0.0831 l1=0.0585
[train] ep1 step9100 loss=0.0785 l1=0.0466
[train] ep1 step9120 loss=0.0887 l1=0.0594
[train] ep1 step9140 loss=0.0777 l1=0.0537
[train] ep1 step9160 loss=0.0614 l1=0.0386
[train] ep1 step9180 loss=0.0648 l1=0.0383
[train] ep1 step9200 loss=0.1550 l1=0.0768
[train] ep1 step9220 loss=0.0884 l1=0.0543
[train] ep1 step9240 loss=0.0851 l1=0.0572
[train] ep1 step9260 loss=0.0784 l1=0.0406
[train] ep1 step9280 loss=0.0881 l1=0.0458
[train] ep1 step9300 loss=0.1171 l1=0.0681
[train] ep1 step9320 loss=0.1328 l1=0.0726
[train] ep1 step9340 loss=0.1456 l1=0.0721
[train] ep1 step9360 loss=0.0742 l1=0.0457
[train] ep1 step9380 loss=0.1285 l1=0.0622
[train] ep1 step9400 loss=0.1086 l1=0.0645
[train] ep1 step9420 loss=0.0759 l1=0.0412
[train] ep1 step9440 loss=0.0756 l1=0.0501
[train] ep1 step9460 loss=0.1105 l1=0.0634
[train] ep1 step9480 loss=0.0713 l1=0.0390
[train] ep1 step9500 loss=0.1298 l1=0.0777
[train] ep1 step9520 loss=0.0634 l1=0.0401
[train] ep1 step9540 loss=0.1066 l1=0.0588
[train] ep1 step9560 loss=0.0778 l1=0.0452
[train] ep1 step9580 loss=0.0712 l1=0.0351
[train] ep1 step9600 loss=0.0720 l1=0.0344
[train] ep1 step9620 loss=0.0844 l1=0.0409
[train] ep1 step9640 loss=0.0844 l1=0.0423
[train] ep1 step9660 loss=0.1374 l1=0.0712
[train] ep1 step9680 loss=0.0624 l1=0.0432
[train] ep1 step9700 loss=0.1364 l1=0.0717
[train] ep1 step9720 loss=0.0803 l1=0.0446
[train] ep1 step9740 loss=0.0820 l1=0.0559
[train] ep1 step9760 loss=0.1028 l1=0.0473
[train] ep1 step9780 loss=0.1047 l1=0.0775
[train] ep1 step9800 loss=0.0737 l1=0.0451
[train] ep1 step9820 loss=0.0689 l1=0.0343
[train] ep1 step9840 loss=0.1243 l1=0.0682
[train] ep1 step9860 loss=0.1023 l1=0.0552
[train] ep1 step9880 loss=0.0555 l1=0.0318
[train] ep1 step9900 loss=0.1489 l1=0.0701
[train] ep1 step9920 loss=0.0742 l1=0.0367
[train] ep1 step9940 loss=0.0531 l1=0.0316
[train] ep1 step9960 loss=0.0725 l1=0.0495
[train] ep1 step9980 loss=0.0875 l1=0.0587
[train] ep1 step10000 loss=0.0619 l1=0.0354
[train] ep1 step10020 loss=0.1001 l1=0.0626
[train] ep1 step10040 loss=0.1611 l1=0.0857
[train] ep1 step10060 loss=0.0821 l1=0.0672
[train] ep1 step10080 loss=0.1097 l1=0.0644
